,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,0,1,2,3,4,sentence
0,0,0,0,0,11,look out your window now.,17,CAPTAIN'S VOICE,2,look out your window now.
1,1,1,1,1,12,we have a great view of the rocky mountains.,17,CAPTAIN'S VOICE,3,we have a great view of the rocky mountains.
2,2,2,2,2,13,"you keep staring at that watch as if your life depended on it, doctor.",19,ETHAN,3,"you keep staring at that watch as if your life depended on it, doctor."
3,3,3,3,3,14,"oh, yes.",20,NEKHORVICH,3,"oh, yes."
4,4,4,4,4,15,i suppose i'm a bit anxious.,21,NEKHORVICH,3,i suppose i'm a bit anxious.
5,5,5,5,5,16,you'll soon be with old friends.,22,ETHAN,3,you'll soon be with old friends.
6,6,6,6,6,17,"i'm with an old friend now, dmitri.",23,NEKHORVICH,3,"i'm with an old friend now, dmitri."
7,7,7,7,7,18,i'm sorry it couldn't be under happier circumstances.,24,ETHAN,3,i'm sorry it couldn't be under happier circumstances.
8,8,8,8,8,19,i'm sorry too.,25,ETHAN,3,i'm sorry too.
9,9,9,9,9,20,"you are sorry, and i am sorry.",25,NEKHORVICH,3,"you are sorry, and i am sorry."
10,10,10,10,10,21,you don't know gradski thought the world of you.,27,NEKHORVICH,3,you don't know gradski thought the world of you.
11,11,11,11,11,22,did he... know...,29,ETHAN,3,did he... know...
12,12,12,12,12,23,before the end that you two had succeeded,30,ETHAN,3,before the end that you two had succeeded
13,13,13,13,13,24,"yes, he knew.",31,NEKHORVICH,3,"yes, he knew."
14,14,14,14,14,25,just,31,NEKHORVICH,3,just
15,15,15,15,15,26,not in time to save him.,32,ETHAN,3,not in time to save him.
16,16,16,16,16,27,no.,32,NEKHORVICH,3,no.
17,17,17,17,17,28,"after you've been infected with chimera for 20 hours, nothing can save you.",33,NEKHORVICH,3,"after you've been infected with chimera for 20 hours, nothing can save you."
18,18,18,18,18,29,not even bellerophon.,34,NEKHORVICH,3,not even bellerophon.
19,19,19,19,19,30,you can carry them together... safely,35,ETHAN,3,you can carry them together... safely
20,20,20,20,20,31,yes.,36,NEKHORVICH,3,yes.
21,21,21,21,21,32,"and you'll get us to safe place with them in atlanta, thank god.",37,NEKHORVICH,3,"and you'll get us to safe place with them in atlanta, thank god."
22,22,22,22,22,33,this is your captain again.,39,CAPTAIN'S VOICE,3,this is your captain again.
23,23,23,23,23,34,we've experienced a slight...,39,CAPTAIN'S VOICE,3,we've experienced a slight...
24,24,24,24,24,35,but abrupt drop in cabin pressure.,41,CAPTAIN'S VOICE,3,but abrupt drop in cabin pressure.
25,25,25,25,25,36,"as a precaution, i've released the oxygen masks.",41,CAPTAIN,4,"as a precaution, i've released the oxygen masks."
26,26,26,26,26,37,"please put them on and sit back, relax.",43,CAPTAIN,4,"please put them on and sit back, relax."
27,27,27,27,27,38,there's nothing to worry about.,44,CAPTAIN,4,there's nothing to worry about.
28,28,28,28,28,39,are you concerned,45,NEKHORVICH,4,are you concerned
29,29,29,29,29,40,not so far.,45,ETHAN,4,not so far.
30,30,30,30,30,41,just put on your oxygen mask.,47,ETHAN,4,just put on your oxygen mask.
31,31,31,31,31,42,i'll see what's going on.,47,ETHAN,4,i'll see what's going on.
32,32,32,32,32,43,okay.,48,NEKHORVICH,4,okay.
33,33,33,33,33,44,"denver center, this is transpac 2207, 747 heavy.",52,CAPTAIN,4,"denver center, this is transpac 2207, 747 heavy."
34,34,34,34,34,45,we're unable to maintain cabin pressurization.,53,CAPTAIN,4,we're unable to maintain cabin pressurization.
35,35,35,35,35,46,we've initiated a descent to one six thousand.,55,CAPTAIN,4,we've initiated a descent to one six thousand.
36,36,36,36,36,47,captain,56,CO-PILOT,4,captain
37,37,37,37,37,48,"it seems we have a problem, dmitri.",73,NEKHORVICH,6,"it seems we have a problem, dmitri."
38,38,38,38,38,49,you keep calling me dmitri.,73,ETHAN,6,you keep calling me dmitri.
39,39,39,39,39,50,you really shouldn't.,73,ETHAN,6,you really shouldn't.
40,40,40,40,40,51,you are not dmitri,74,NEKHORVICH,6,you are not dmitri
41,41,41,41,41,52,no.,84,ETHAN,6,no.
42,42,42,42,42,53,"wallis, hold on to this.",84,ETHAN (cont'd),6,"wallis, hold on to this."
43,43,43,43,43,54,"ulrich, remember to pull the",87,ETHAN (cont'd),6,"ulrich, remember to pull the"
44,44,44,44,44,55,remember to pull the no2 tank and dump it.,90,AMBROSE,6,remember to pull the no2 tank and dump it.
45,45,45,45,45,56,"all done, chief.",91,STAMP,6,"all done, chief."
46,46,46,46,46,57,terrain.,93,VOICE,6,terrain.
47,47,47,47,47,58,terrain.,93,VOICE,6,terrain.
48,48,48,48,48,59,pull up.,93,VOICE,6,pull up.
49,49,49,49,49,60,pull up.,93,VOICE,6,pull up.
50,50,50,50,50,61,terrain.,95,VOICE,6,terrain.
51,51,51,51,51,62,"okay, dive, dive",98,AMBROSE,6,"okay, dive, dive"
52,52,52,52,52,63,"checkpoint charlie in three,",98,AMBROSE,6,"checkpoint charlie in three,"
53,53,53,53,53,64,"two, one, go",100,AMBROSE,6,"two, one, go"
54,54,54,54,54,65,terrain.,106,VOICE,7,terrain.
55,55,55,55,55,66,terrain.,106,VOICE,7,terrain.
56,56,56,56,56,67,pull up.,106,VOICE,7,pull up.
57,57,57,57,57,68,pull up.,106,VOICE,7,pull up.
58,58,58,58,58,69,terrain.,107,VOICE,7,terrain.
59,59,59,59,59,70,terrain.,107,VOICE,7,terrain.
60,60,60,60,60,71,pull up.,107,VOICE,7,pull up.
61,61,61,61,61,72,pull up.,107,VOICE,7,pull up.
62,62,62,62,62,73,terrain.,112,VOICE,7,terrain.
63,63,63,63,63,74,terrain.,112,VOICE,7,terrain.
64,64,64,64,64,75,pull up.,112,VOICE,7,pull up.
65,65,65,65,65,76,pull up.,112,VOICE,7,pull up.
66,66,66,66,66,77,"good morning, mr. hunt.",160,SWANBECK,9,"good morning, mr. hunt."
67,67,67,67,67,78,"your mission, should you choose to accept it,",160,SWANBECK'S VOICE,9,"your mission, should you choose to accept it,"
68,68,68,68,68,79,involves the recovery of a stolen item designated ''chimera. '',161,SWANBECK'S VOICE,9,involves the recovery of a stolen item designated ''chimera. ''
69,69,69,69,69,80,"you may select any two team members,",162,SWANBECK'S VOICE,9,"you may select any two team members,"
70,70,70,70,70,81,but it is essential that the third team member be nyah nordoffhall.,163,SWANBECK'S VOICE,9,but it is essential that the third team member be nyah nordoffhall.
